temperature,humidity,gas,motion,flame,label
32.49080237694725,78.52142919229749,306,1,1,SAFE
40.593820005455385,67.90550473839461,321,1,1,SAFE
28.119890406724053,51.742508365045985,287,1,1,SAFE
31.674172222780435,54.28600453765822,330,1,1,SAFE
25.411689885916047,79.09729556485983,493,1,1,SAFE
25.015575316820286,79.76634677873653,360,1,1,SAFE
31.084844859190753,65.74269294896713,435,1,1,SAFE
25.461248500828315,65.74323980775168,369,1,1,SAFE
25.933313264272307,79.21266556524378,470,1,1,SAFE
34.121399684340716,73.55527884179041,250,1,1,SAFE
32.64923982534326,79.49692657420364,330,1,1,SAFE
42.19880813472641,70.40922615763338,528,1,1,SAFE
26.30103185970559,78.4665661176,515,1,1,SAFE
36.265764356910786,61.56249507619748,545,1,1,SAFE
26.95344228012768,70.52699079536471,566,1,1,SAFE
38.66527037650916,68.29989973347863,463,1,1,SAFE
25.687770422304368,77.27961206236347,249,1,1,SAFE
38.25044568707964,59.35133228268233,589,1,1,SAFE
29.158833257363774,67.03100983459974,390,1,1,SAFE
41.845695491899974,63.49262400109297,401,1,1,SAFE
42.89654700855297,67.93699936433255,503,1,1,SAFE
31.530815376116706,67.11331923216198,451,1,1,SAFE
25.90454577821076,59.75990992289793,407,1,1,SAFE
39.94640220274762,66.1907639716724,479,1,1,SAFE
32.135066533871786,58.42803529062142,579,1,1,SAFE
30.519983640450867,58.88820517112247,500,1,1,SAFE
26.491012873595416,79.60660809801553,543,1,1,SAFE
32.8976303635114,58.804645241541145,262,1,1,SAFE
41.30922856909668,71.20572031542852,362,1,1,SAFE
40.80351081062411,68.17879924343035,430,1,1,SAFE
38.02154051003889,77.44879026631342,400,1,1,SAFE
37.46596253655116,59.92694074557947,247,1,1,SAFE
32.41636504396533,70.06523757990821,492,1,1,SAFE
39.59212356676128,69.12672414065639,234,1,1,SAFE
34.44429850323898,53.58782737814905,330,1,1,SAFE
40.21570097233795,66.83831592708489,454,1,1,SAFE
30.12136645522648,51.21300768615294,406,1,1,SAFE
33.55082036717099,50.762573802322855,378,1,1,SAFE
25.628583713734685,69.09231233791341,251,1,1,SAFE
36.26551143952767,70.86548259278382,430,1,1,SAFE
33.207658460712594,72.66653415629146,235,1,1,SAFE
43.85707141115962,67.96596399465608,442,1,1,SAFE
28.22442574508009,77.8909295702772,244,1,1,SAFE
30.91267371675428,53.16482779490812,483,1,1,SAFE
41.07344153798229,55.597101766581076,485,1,1,SAFE
42.66560517837736,59.73035063015822,547,1,1,SAFE
